Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","203","Spain","9","Argentina","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","1674195","","Official data"
"TM","Detailed trade matrix","203","Spain","9","Argentina","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","9059","","Official data"
"TM","Detailed trade matrix","203","Spain","9","Argentina","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","9","","Official data"
"TM","Detailed trade matrix","203","Spain","11","Austria","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","75","","Official data"
"TM","Detailed trade matrix","203","Spain","11","Austria","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","231","","Official data"
"TM","Detailed trade matrix","203","Spain","255","Belgium","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","27","","Official data"
"TM","Detailed trade matrix","203","Spain","255","Belgium","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","944","","Official data"
"TM","Detailed trade matrix","203","Spain","255","Belgium","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","244","","Official data"
"TM","Detailed trade matrix","203","Spain","21","Brazil","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","748912","","Official data"
"TM","Detailed trade matrix","203","Spain","21","Brazil","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","1671254","","Official data"
"TM","Detailed trade matrix","203","Spain","27","Bulgaria","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","1800","","Official data"
"TM","Detailed trade matrix","203","Spain","27","Bulgaria","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","203","Spain","33","Canada","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","216","","Official data"
"TM","Detailed trade matrix","203","Spain","33","Canada","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","101007","","Official data"
"TM","Detailed trade matrix","203","Spain","96","China, Hong Kong SAR","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","20","","Official data"
"TM","Detailed trade matrix","203","Spain","41","China, mainland","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","11696","","Official data"
"TM","Detailed trade matrix","203","Spain","41","China, mainland","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","15","","Official data"
"TM","Detailed trade matrix","203","Spain","41","China, mainland","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","972","","Official data"
"TM","Detailed trade matrix","203","Spain","214","China, Taiwan Province of","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","7","","Official data"
"TM","Detailed trade matrix","203","Spain","44","Colombia","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","203","Spain","167","Czechia","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","1","","Official data"
"TM","Detailed trade matrix","203","Spain","54","Denmark","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","23","","Official data"
"TM","Detailed trade matrix","203","Spain","54","Denmark","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","1","","Official data"
"TM","Detailed trade matrix","203","Spain","56","Dominican Republic","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","1","","Official data"
"TM","Detailed trade matrix","203","Spain","59","Egypt","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","10987","","Official data"
"TM","Detailed trade matrix","203","Spain","238","Ethiopia","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","5277","","Official data"
"TM","Detailed trade matrix","203","Spain","68","France","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","21153","","Official data"
"TM","Detailed trade matrix","203","Spain","68","France","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","3436","","Official data"
"TM","Detailed trade matrix","203","Spain","68","France","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","38422","","Official data"
"TM","Detailed trade matrix","203","Spain","79","Germany","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","109826","","Official data"
"TM","Detailed trade matrix","203","Spain","79","Germany","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","101","","Official data"
"TM","Detailed trade matrix","203","Spain","79","Germany","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","343","","Official data"
"TM","Detailed trade matrix","203","Spain","84","Greece","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","6","","Official data"
"TM","Detailed trade matrix","203","Spain","100","India","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","35352","","Official data"
"TM","Detailed trade matrix","203","Spain","100","India","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","1","","Official data"
"TM","Detailed trade matrix","203","Spain","100","India","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","3916","","Official data"
"TM","Detailed trade matrix","203","Spain","106","Italy","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","26","","Official data"
"TM","Detailed trade matrix","203","Spain","106","Italy","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","85","","Official data"
"TM","Detailed trade matrix","203","Spain","106","Italy","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","1936","","Official data"
"TM","Detailed trade matrix","203","Spain","110","Japan","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","203","Spain","138","Mexico","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","203","Spain","28","Myanmar","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","1","","Official data"
"TM","Detailed trade matrix","203","Spain","150","Netherlands","5610","Import Quantity","238","Cake, soybeans","2019","2019","tonnes","815","","Official data"
"TM","Detailed trade matrix","203","Spain","150","Netherlands","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","38196","","Official data"
"TM","Detailed trade matrix","203","Spain","150","Netherlands","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","345","","Official data"
"TM","Detailed trade matrix","203","Spain","159","Nigeria","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","203","Spain","162","Norway","5610","Import Quantity","237","Oil, soybean","2019","2019","tonnes","5010","","Official data"
"TM","Detailed trade matrix","203","Spain","162","Norway","5610","Import Quantity","236","Soybeans","2019","2019","tonnes","0","","Official data"
